"asin","title","author"
"0199645205","The Book of Common Prayer: The Texts of 1549, 1559, and 1662 (Oxford World's Classics)","Brian Cummings"
"0819229423","Welcome to Church Music & The Hymnal 1982","Matthew Hoch"
"161949213X","Ever Increasing Faith","Smith Wigglesworth"
"006185588X","The Story of Christianity, Vol. 1: The Early Church to the Dawn of the Reformation","Justo L. Gonzalez"
"0768403642","Hosting the Presence Workbook: Unveiling Heaven's Agenda","Bill Johnson"
"1612788351","A Year of Mercy with Pope Francis: Daily Reflections","Pope Francis"
"0768405246","Hosting the Presence Every Day: 365 Days to Unveiling Heaven's Agenda for Your Life","Bill Johnson"
"B00A1AFE9G","The Evolution of Faith: How God Is Creating a Better Christianity","Philip Gulley"
"1581348878","Experiencing the Truth: Bringing the Reformation to the African-American Church","Anthony J. Carter"
"0061988219","The Pastor: A Memoir","Eugene H. Peterson"
"1400073871","North! Or Be Eaten (The Wingfeather Saga)","Andrew Peterson"
"0446568880","The Confident Woman Devotional: 365 Daily Inspirations","Joyce Meyer"
"1601374585","The Joy of the Gospel: Evangelii Gaudium (Publication / United States Conference of Catholic Bishops)","Pope Francis"
"0764212435","Undetected","Dee Henderson"
"0800698363","Martin Luther's Theology: Its Historical and Systematic Development (Theology and the Sciences)","Lohse Bernhard"
"1455514004","We Make the Road by Walking: A Year-Long Quest for Spiritual Formation, Reorientation, and Activation","Brian D. McLaren"
"1426213875","The Story of Christianity: A Chronicle of Christian Civilization From Ancient Rome to Today","Jean-Pierre Isbouts"
"1567693210","The Heroic Boldness of Martin Luther (Long Line of Godly Men Profiles)","Steven J. Lawson"
"1626361770","The Brick Bible: The Complete Set","Brendan Powell Smith"
"0310513898","PROOF: Finding Freedom through the Intoxicating Joy of Irresistible Grace","Daniel Montgomery"
"1594486298","Small Victories: Spotting Improbable Moments of Grace","Anne Lamott"
"1414329733","The One Year Love Language Minute Devotional (The One Year Signature Series)","Gary Chapman"
"0310517826","How to Read the Bible for All Its Worth: Fourth Edition","Gordon D. Fee"
"0819223212","Your Faith, Your Life: An Invitation to the Episcopal Church","Jenifer Gamber"
"1561011673","Home By Another Way","Barbara Brown Taylor"
"1433602857","Apologetics Study Bible, Hardcover","Holman Bible Staff"
"1596272430","Liturgical Sense: The Logic of Rite (Weil Series in Liturgics)","Louis Weil"
"0829441689","The Church of Mercy","Pope Francis"
"1612787738","Evangelizing Catholics: A Mission Manual for the New Evangelization","Scott Hahn"
"0310344298","The Daniel Plan: 40 Days to a Healthier Life","Rick Warren"
"1414368186","Bridge to Haven","Francine Rivers"
"1601423101","Desiring God, Revised Edition: Meditations of a Christian Hedonist","John Piper"
"0829441700","The Church of Mercy","Pope Francis"
"1472903706","Pope Francis: Untying the Knots","Paul Vallely"
"0801071941","50 People Every Christian Should Know: Learning from Spiritual Giants of the Faith","Warren W. Wiersbe"
"0770435068","On Heaven and Earth: Pope Francis on Faith, Family, and the Church in the Twenty-First Century","Jorge Mario Bergoglio"
"1626980055","The Cross and the Lynching Tree","James H. Cone"
"0300188781","David: The Divided Heart (Jewish Lives)","David Wolpe"
"1622822064","Roses Among Thorns","St. Francis de Sales"
"0310315441","One Thousand Gifts Devotional: Reflections on Finding Everyday Graces","Ann Voskamp"
"0982277040","Lucia: Saint of Light","Katherine Bolger Hyde"
"0310339308","The Case for Christ: A Journalist's Personal Investigation of the Evidence for Jesus (Case for ... Series)","Lee Strobel"
"1400322898","Jesus Calling: Devotional Journal","Sarah Young"
"0449912558","The Sparrow: A Novel (Ballantine Reader's Circle)","Mary Doria Russell"
"1603741631","Your Power In The Holy Spirit","John G Lake"
"0892280271","Pigs in the Parlor: A Practical Guide to Deliverance","Frank Hammond"
"1401676316","Church History in Plain Language: Fourth Edition","Dr. Bruce L. Shelley"
"0758613040","Grace Upon Grace: Spirituality for Today","John W. Kleinig"
"1250066611","The Red Tent: A Novel","Anita Diamant"
"0962889873","The Other Side of Calvinism","Laurence M. Vance"
"1414380496","Agents of the Apocalypse: A Riveting Look at the Key Players of the End Times","David Jeremiah"
"0736944850","The Popular Handbook of Archaeology and the Bible: Discoveries That Confirm the Reliability of Scripture","Joseph M. Holden"
"1611132339","I Declare: 31 Promises to Speak Over Your Life","Joel Osteen"
"006146905X","The Sistine Secrets: Michelangelo's Forbidden Messages in the Heart of the Vatican","Benjamin Blech"
"160374083X","Smith Wigglesworth: Complete Collection","Roberts Liardon"
"0310494842","Deep and   Wide: Creating Churches Unchurched People Love to Attend","Andy Stanley"
"0199367922","Godly Ambition: John Stott and the Evangelical Movement","Alister Chapman"
"0553419536","The Joy of the Gospel (Specially Priced Hardcover Edition): Evangelii Gaudium","Pope Francis"
"1433541386","New Morning Mercies: A Daily Gospel Devotional","Paul David Tripp"
"0061997196","Mission at Nuremberg: An American Army Chaplain and the Trial of the Nazis","Tim Townsend"
"1440530718","The Everything Large-Print Bible Word Search Book: 150 inspirational puzzles - now in large print! (Everything Series)","Charles Timmerman"
"0061997196","Mission at Nuremberg: An American Army Chaplain and the Trial of the Nazis","Tim Townsend"
"1426213875","The Story of Christianity: A Chronicle of Christian Civilization From Ancient Rome to Today","Jean-Pierre Isbouts"
"0768441102","The Seer Expanded Edition: The Prophetic Power of Visions, Dreams, and Open Heavens","James W. Goll"
"0199794928","Wrestling the Angel: The Foundations of Mormon Thought: Cosmos, God, Humanity","Terryl L. Givens"
"0872207684","On the Freedom of a Christian: With Related Texts (Hackett Classics)","Martin Luther"
"1612785093","Daily Roman Missal","Our Sunday Visitor"
"0830838392","The Accidental Anglican: The Surprising Appeal of the Liturgical Church","Todd D. Hunter"
"0062049658","Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived","Rob Bell"
"081922152X","St. Benedict's Toolbox: The Nuts and Bolts of Everyday Benedictine Living","Jane Tomaine"
"1400200393","Wild at Heart Revised & Updated: Discovering the Secret of a Man's Soul","John Eldredge"
"0664231012","Feasting on the Word: Year C, Vol. 2: Lent through Eastertide","David L. Bartlett"
"1414326270","More Than a Carpenter","Josh D. McDowell"
"0486479099","Saints Stained Glass Coloring Book (Holiday Stained Glass Coloring Book)","John Green"
"1616361573","Breathing Under Water: Spirituality and the Twelve Steps","Richard Rohr O.F.M."
"0982069804","A Wesley Reader: Writings Of John And Charles Wesley","John Wesley"
"0758644450","Commonplaces: Loci Communes 1521","Philip Melanchthon"
"1484938984","The Life and Prayers of Saint Francis of Assisi","Wyatt North"
"0804139148","Sacred Fire: A Vision for a Deeper Human and Christian Maturity","Ronald Rolheiser"
"1622821823","Reclaiming Catholic Social Teaching","Anthony Esolen"
"0758611161","Luther's Small Catechism with Explanation, Pack of 12","Luther"
"1612787665","Through the Year with Pope Francis: Daily Reflections","Pope Francis"
"1476748683","The Duck Commander Devotional","Al Robertson"
"0800788087","The Master Plan of Evangelism","Robert E. Coleman"
"1426742274","American Methodism: A Compact History","Russell E. Richey"
"014044114X","Confessions (Penguin Classics)","Saint Augustine"
"0664230997","The story of southern Presbyterians","T. Watson Street"
"1936533073","The Books of Enoch: The Angels, The Watchers and The Nephilim: (With Extensive Commentary on the Three Books of Enoch, the Fallen Angels, the Calendar of Enoch, and Daniel's Prophecy)","Joseph Lumpkin"
"0061430714","The First Christmas: What the Gospels Really Teach About Jesus's Birth","Marcus J. Borg"
"158834312X","The Jefferson Bible, Smithsonian Edition: The Life and Morals of Jesus of Nazareth","Thomas Jefferson"
"1414348282","The One Year Uncommon Life Daily Challenge","Tony Dungy"
"1622821580","One-Minute Aquinas","Kevin Vost"
"1401676324","One Perfect Life: The Complete Story of the Lord Jesus","John MacArthur"
"0310339324","Vanishing Grace: What Ever Happened to the Good News?","Philip Yancey"
"0764210718","The Secret of Pembrooke Park","Julie Klassen"
"0736928219","One-Minute Prayers for Men Gift Edition","Harvest House Publishers"
"1605986100","The Lost Gospel: Decoding the Ancient Text that Reveals Jesus' Marriage to Mary the Magdalene","Simcha Jacobovici"
"1400322901","Jesus Today - Deluxe Edition: Experience Hope Through His Presence","Sarah Young"
"0828025177","The Seventh-Day Ox: And Other Miracle Stories from Russia","Bradley Booth"
"0718011937","Every Day in His Presence","Dr. Charles F. Stanley"
"1434704696","Cold-Case Christianity: A Homicide Detective Investigates the Claims of the Gospels","J. Warner Wallace"
"1451679165","Growing Up Duggar: It's All About Relationships","Jill Duggar"
"1433681099","Whispers of Hope: 10 Weeks of Devotional Prayer","Beth Moore"
"0195287762","1979 Book of Common Prayer Economy Edition","Oxford University Press"
"0385531206","Joan of Arc: A Life Transfigured","Kathryn Harrison"
"1400324297","Jesus Calling - 10th Anniversary Expanded Edition: Enjoying Peace in His Presence","Sarah Young"
"1596380829","How Do We Glorify God? (Basics of the Faith) (Basics of the Reformed Faith)","John D. Hannah"
"0813044685","Primitive Baptists of the Wiregrass South: 1815 to the Present","John G. Crowley"
"0195297628","The Oxford Guide to the Book of Common Prayer: A Worldwide Survey","Charles Hefling"
"0882640577","Tortured for Christ","Richard Wurmbrand"
"0199604703","The Oxford Handbook of Martin Luther's Theology (Oxford Handbooks)","Robert Kolb"
"1936101599","Quantum Glory","Phil Mason"
"0829442170","Pope Francis: Life and Revolution: A Biography of Jorge Bergoglio","Elisabetta Piqué"
"150316070X","My Craziest Adventures With God - Volume 1: The Supernatural Journal of a Former Atheist Paramedic","Praying Medic"
"1572937718","My Utmost for His Highest: Quality Paperback Edition","Oswald Chambers"
"1907661328","The Ministry of Healing","Ellen G. White"
"1594631875","The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God","Timothy Keller"
"0804141126","Joy to the World: How Christ's Coming Changed Everything (and Still Does)","Scott Hahn"
"1906173419","The Freedom of Self Forgetfulness: The Path to True Christian Joy","Timothy Keller"
"1430031557","What Love Is: The Letters of 1, 2, 3 John (Living Room)","Kelly Minter"
"0828027080","Our Father Cares: A Daily Devotional","Ellen Gould Harmon White"
"0143118692","Christianity: The First Three Thousand Years","Diarmaid MacCulloch"
"0385519494","Signs of Life: 40 Catholic Customs and Their Biblical Roots","Scott Hahn"
"1404187820","Jesus Calling - Deluxe Edition: Enjoying Peace in His Presence","Sarah Young"
"0758641982","I Am Not Afraid: Demon Possession and Spiritual Warfare","Robert H. Bennett"
"0062269976","Convictions: How I Learned What Matters Most","Marcus J. Borg"
"1601374763","Praying the Rosary with Pope Francis","US Conference of Catholic Bishops"
"1616361573","Breathing Under Water: Spirituality and the Twelve Steps","Richard Rohr O.F.M."
"0385519494","Signs of Life: 40 Catholic Customs and Their Biblical Roots","Scott Hahn"
"0500251959","Heavenly Bodies: Cult Treasures and Spectacular Saints from the Catacombs","Paul Koudounaris"
"0829441689","The Church of Mercy","Pope Francis"
"0758626703","The Lutheran Difference","Edward A. Engelbrecht"
"1433679590","The Love Dare","Alex Kendrick"
"1598568329","Spurgeon's Sermons","C. H. Spurgeon"
"1439191425","The Walk: A Novel","Richard Paul Evans"
"0976003902","A Reformed Baptist Manifesto","Samuel E. Waldron"
"0800697405","Strength to Love","Martin Luther King Jr"
"0664231063","Feasting on the Word: Year A: Pentecost and Season After Pentecost 1 (Propers 3-16) (Feasting on the Word)","David L. Bartlett"
"006146905X","The Sistine Secrets: Michelangelo's Forbidden Messages in the Heart of the Vatican","Benjamin Blech"
"1481901141","I Do Hard Things: A Bible Study Series","Havilah M Cunnington"
"030017084X","Calvin","F. Bruce Gordon"
"1596387319","John Frame's Selected Shorter Writings","John M. Frame"
"1502804751","Stocking Stuffers: Santa's Christmas Word Search Book!","Stocking Stuffers"
"0800796209","School of the Prophets: Advanced Training for Prophetic Ministry","Kris Vallotton"
"0828025215","The Big Four: Secrets to a Thriving Church Family","S. Joseph Kidder"
"0828023859","The Apocalyptic Vision and the Neutering of Adventism","George R. Knight"
"155635911X","The Righteousness of Faith According to Luther:","Hans J. Iwand"
"1616365145","Accidental Theologians: Four Women Who Shaped Christianity","Elizabeth A. Dreyer"
"0199978468","The Jewish Study Bible: Second Edition","Adele Berlin"
"0768441293","Hosting the Presence: Unveiling Heaven's Agenda","Bill Johnson"
"1414322097","For Girls Only! Devotions","Carolyn Larsen"
"145168746X","Fifteen Minutes: A Novel","Karen Kingsbury"
"1400322898","Jesus Calling: Devotional Journal","Sarah Young"
"1414387083","The Greatest Gift: Unwrapping the Full Love Story of Christmas","Ann Voskamp"
"0062204092","A Prayer for Owen Meany: A Novel","John Irving"
"0761179402","365 Bible Verses a Year 2015 Page-A-Day Calendar","Workman Publishing"
"1451465386","Power Politics and the Missouri Synod","James C. Burkee"
"0807000639","A Gift of Love: Sermons from Strength to Love and Other Preachings (King Legacy)","Martin Luther Jr. King"
"142677611X","The United Methodist Deacon: Ordained to Word, Service, Compassion, and Justice","Margaret Ann Crain"
"1430032340","Breathe: Making Room for Sabbath: 5-Session Bible Study","Priscilla Shirer"
"0800795288","Rules of Engagement: Preparing for Your Role in the Spiritual Battle","Derek Prince"
"1601374763","Praying the Rosary with Pope Francis","US Conference of Catholic Bishops"
"0446538582","Trusting God Day by Day: 365 Daily Devotions","Joyce Meyer"
"0310726026","The Rhyme Bible Storybook","L. J. Sattgast"
"1426778848","Revival: Faith as Wesley Lived It","Adam Hamilton"
"0804136955","Would You Baptize an Extraterrestrial?: . . . and Other Questions from the Astronomers' In-box at the Vatican Observatory","Guy Consolmagno SJ"
"0830838988","Ten Myths About Calvinism: Recovering the Breadth of the Reformed Tradition","Kenneth J. Stewart"
"0195287762","1979 Book of Common Prayer Economy Edition","Oxford University Press"
"1621572552","Jesus on Trial: A Lawyer Affirms the Truth of the Gospel","David Limbaugh"
"1433679736","I Am a Church Member: Discovering the Attitude that Makes the Difference","Thom S. Rainer"
"0829441700","The Church of Mercy","Pope Francis"
"0800795369","The Lifestyle of a Prophet: A 21-Day Journey to Embracing Your Calling","James W. Goll"
"1599954184","A.D. 30: A Novel","Ted Dekker"
"1451628315","Walking on Water: A Novel (The Walk)","Richard Paul Evans"
"1400202728","How to Reach Your Full Potential for God Study Guide","Dr. Charles F. Stanley"
"0310321913","One Thousand Gifts: A Dare to Live Fully Right Where You Are","Ann Voskamp"
"0804141525","He Leadeth Me","Walter J. Ciszek S.J."
"0195297709","The Jewish Annotated New Testament","Amy-Jill Levine"
"0830838511","Jonathan Edwards and the Ministry of the Word: A Model of Faith and Thought","Douglas A. Sweeney"
"0827206372","The Disciples: A Struggle for Reformation","Dr. D Cummins"
"160459716X","Fox's Book of Martyrs","John Foxe"
"0898698782","Constitution and Canons: The General Convention of the Episcopal Church","Church Publishing"
"0062024256","Between Heaven and Mirth: Why Joy, Humor, and Laughter Are at the Heart of the Spiritual Life","James Martin"
"1561012181","In Quiet Silence: Christmas in a Cloister","Society"
"0802428673","The Moody Bible Commentary","Michael A Rydelnik"
"0827244991","Defrocked: How A Father's Act of Love Shook the United Methodist Church","Franklyn Schaefer"
"1118303598","Immortal Diamond: The Search for Our True Self","Richard Rohr"
"0828025444","40 Days: Prayers and Devotions to Prepare for the Second Coming","Dennis Smith"
"0834128837","Shift: How Nine Churches Experienced Vibrant Renewal","Daron Brown"
"0881775568","A Blueprint for Discipleship: Wesley's General Rules as a Guide for Christian Living","Kevin M. Watson"
"1939880769","Changing Our Mind","David P Gushee"
"1433535823","Dangerous Calling: Confronting the Unique Challenges of Pastoral Ministry","Paul David Tripp"
"0758631006","Lutheranism 101: The Course","Shawn L. Kumm"
"1414380496","Agents of the Apocalypse: A Riveting Look at the Key Players of the End Times","David Jeremiah"
"1621362612","The Code of the Holy Spirit: Uncovering the Hebraic Roots and Historic Presence of the Holy Spirit","Perry Stone"
"1603741232","My Time In Heaven","SIGMUND RICHARD"
"0800796179","Experience the Impossible: Simple Ways to Unleash Heaven's Power on Earth","Bill Johnson"
"0664230989","Feasting on the Word: Year B, Vol. 3: Pentecost and Season after Pentecost 1 (Propers 3-16)","David L. Bartlett"
"0664503349","Presbyterian Faith That Lives Today","Donald K. McKim"
"0989019608","40 Days with the Savior","Connie E. Sokol"
"006223496X","Making Sense of the Bible: Rediscovering the Power of Scripture Today","Adam Hamilton"
"1400203732","I Am Second: Real Stories. Changing Lives.","Doug Bender"
"1618906534","Manual for Spiritual Warfare","Paul Thigpen Ph.D."
"0768404819","Releasing the Spirit of Prophecy: The Supernatural Power of Testimony","Bill Johnson"
"0982277040","Lucia: Saint of Light","Katherine Bolger Hyde"
"0553419536","The Joy of the Gospel (Specially Priced Hardcover Edition): Evangelii Gaudium","Pope Francis"
"1611045436","Second Advent Way Marks and High Heaps","Joseph Bates"
"0835812375","The Upper Room Disciplines 2015: A Book of Daily Devotions","Upper Room"
"1414387091","Churchless: Understanding Today's Unchurched and How to Connect with Them","George Barna"
"1401676324","One Perfect Life: The Complete Story of the Lord Jesus","John MacArthur"
"0800796195","Fashioned to Reign: Empowering Women to Fulfill Their Divine Destiny","Kris Vallotton"
"080103731X","A Reader's Guide to Calvin's Institutes","Anthony N. S. Lane"
"0195287797","1979 Book of Common Prayer, Gift Edition","Episcopal Church"
"0061706604","Made for Goodness: And Why This Makes All the Difference","Desmond Tutu"
"0310324653","For Calvinism","Michael S. Horton"
"1586175165","Youcat","Cardinal Christoph Schonborn (editor)"
"0061689823","Porch Talk: Stories of Decency, Common Sense, and Other Endangered Species","Philip Gulley"
"1451472285","Lutherans in America: A New History","Mark Granquist"
"1939094194","Saints for Girls: A First Book for Little Catholic Girls","Various"
"0800794982","Two Hours to Freedom: A Simple and Effective Model for Healing and Deliverance","Charles H. Kraft"
"1492234419","there was no Jesus, there is no God: A Scholarly Examination of the Scientific, Historical, and Philosophical Evidence & Arguments for Monotheism","Raphael Lataster"
"081922152X","St. Benedict's Toolbox: The Nuts and Bolts of Everyday Benedictine Living","Jane Tomaine"
"1400070929","Clutter-Free Christianity: What God Really Desires for You","Robert Jeffress"
"0310494184","Center Church: Doing Balanced, Gospel-Centered Ministry in Your City","Timothy Keller"
"0312428545","Home: A Novel","Marilynne Robinson"
"1414336276","The Third Target","Joel C. Rosenberg"
"144945500X","Break Out! 2015 Day-to-Day Calendar","Joel Osteen"
"078523232X","The Noticer: Sometimes, all a person needs is a little perspective","Andy Andrews"
"0736928219","One-Minute Prayers for Men Gift Edition","Harvest House Publishers"
"006202423X","Jesus: A Pilgrimage","James Martin"
"0829442138","Pope Francis: Life and Revolution: A Biography of Jorge Bergoglio","Elisabetta Piqué"
"0310339324","Vanishing Grace: What Ever Happened to the Good News?","Philip Yancey"
"1596384654","Comforting Hearts, Teaching Minds: Family Devotions Based on the Heidelberg Catachism","Starr Meade"
"1938983807","Behold Your Mother - A Biblical and Historical Defense of the Marian Doctrines","Tim Staples"
"193598652X","The Second Reformation: Baptists in Colonial America","Bruce Snavely"
"1426209878","In the Footsteps of Jesus: A Chronicle of His Life and the Origins of Christianity","Jean-Pierre Isbouts"
"1476718636","Miles to Go (The Walk)","Richard Paul Evans"
"0687643791","What Does It Mean to Be a United Methodist - DVD","Adam Hamilton"
"0802428673","The Moody Bible Commentary","Michael A Rydelnik"
"1494300710","Holiness","J.C. Ryle"
"014025448X","At Home in Mitford (The Mitford Years, Book 1)","Jan Karon"
"3836518147","The Bible in Pictures: Illustrations from the Workshop of Lucas Cranach (1534)","Martin Luther"
"142677883X","Revival Leader Guide: Faith as Wesley Lived It","Adam Hamilton"
"1451628315","Walking on Water: A Novel (The Walk)","Richard Paul Evans"
"1400074630","The Greatest Words Ever Spoken: Everything Jesus Said About You, Your Life, and Everything Else (Thinline Ed.)","Steven K. Scott"
"0827214715","A Handbook for Today's Disciples in the Christian Church (Disciples of Christ) 4th Ed.: Fourth Edition","Dr. D Cummins"
"0670024562","Christendom Destroyed: Europe 1517-1648 (Penguin History of Europe)","Mark Greengrass"
"1451687478","Angels Walking: A Novel","Karen Kingsbury"
"0199373868","Ellen Harmon White: American Prophet","Terrie Dopp Aamodt"
"0061855898","The Story of Christianity, Vol. 2: The Reformation to the Present Day","Justo L. Gonzalez"
"1939811104","The 7 Most Powerful Prayers That Will Change Your Life Forever","Adam Houge"
"0794606288","The Genesis Genealogies: God's Administration in the History of Redemption","Abraham Park"
"B003F76I92","Porch Talk: Stories of Decency, Common Sense, and Other Endangered Species","Philip Gulley"
"075862817X","Luther's Works - Church Postil II (Luther's Works (Concordia))","Martin Luther"
"1433684748","Portraits of Devotion","Beth Moore"
"0061778184","How Jesus Became God: The Exaltation of a Jewish Preacher from Galilee","Bart D. Ehrman"
"1433541769","Women of the Word: How to Study the Bible with Both Our Hearts and Our Minds","Jen Wilkin"
"0684838273","Letters and Papers from Prison","Dietrich Bonhoeffer"
"1616367571","Silent Compassion: Finding God in Contemplation","Richard Rohr O.F.M."
"1400320097","Jesus Today: Experience Hope Through His Presence","Sarah Young"
"1606837516","Dressed to Kill: A Biblical Approach to Spiritual Warfare and Armor","Rick Renner"
"0814449115","Lead with Humility: 12 Leadership Lessons from Pope Francis","Jeffrey A. Krames"
"1612788351","A Year of Mercy with Pope Francis: Daily Reflections","Pope Francis"
"1453687416","John Wesley: A Plain Account of Christian Perfection","John Wesley"
"1426702558","Social Principles of the United Methodist Church 2009-2012","Margaret Ann Crain"
"0834124440","Our Watchword and Song: The Centennial History of the Church of the Nazarene","Floyd Cunningham"
"0525951903","Generous Justice: How God's Grace Makes Us Just","Timothy Keller"
"142674224X","Wesley and the People Called Methodists: Second Edition","Richard P. Heitzenrater"
"0819224448","Listening Hearts 20th Anniversary Edition: Discerning Call in Community","Suzanne G. Farnham"
"161278772X","Day by Day for the Holy Souls in Purgatory: 365 Reflections","Susan Tassone"
"0310326001","Women of the Bible: A One-Year Devotional Study of Women in Scripture","Ann Spangler"
"1888305800","Fit for Freedom, Not for Friendship: Quakers, African Americans, and the Myth of Racial Justice","Donna McDaniel"
"1936488116","Blood Moons: Decoding the Imminent Heavenly Signs","Mark Biltz"
"1433542366","The Dawning of Indestructible Joy: Daily Readings for Advent","John Piper"
"0804141126","Joy to the World: How Christ's Coming Changed Everything (and Still Does)","Scott Hahn"
"0814449115","Lead with Humility: 12 Leadership Lessons from Pope Francis","Jeffrey A. Krames"
"0851519733","A Defence of Calvinism","Charles Haddon Spurgeon"
"140418970X","Hope for Each Day Morning and Evening Devotions","Billy Graham"
"1848711824","The Baptist Confession of Faith 1689 (Pocket Puritans)","Various"
"0819221910","Pastoral Care in Hospitals: Second Edition","Neville A. Kirkwood"
"144223475X","The Jesuits: A History from Ignatius to the Present","John W. O'Malley S.J."
"1476748683","The Duck Commander Devotional","Al Robertson"
"0061855898","The Story of Christianity, Vol. 2: The Reformation to the Present Day","Justo L. Gonzalez"
"0828024758","Reflecting Christ","Ellen G. White"
"1626361770","The Brick Bible: The Complete Set","Brendan Powell Smith"
"0061432695","The Jesuit Guide to (Almost) Everything: A Spirituality for Real Life","James Martin"
"1577489144","My Utmost For His Highest - Deluxe (DELUXE CHRISTIAN CLASSICS)","Oswald Chambers"
"1455573434","Your Legacy: The Greatest Gift","James Dobson"
"1414380496","Agents of the Apocalypse: A Riveting Look at the Key Players of the End Times","David Jeremiah"
"140006922X","Zealot: The Life and Times of Jesus of Nazareth","Reza Aslan"
"1595180001","Jesus Was An Episcopalian (And You Can Be One Too!): A Newcomer's Guide to the Episcopal Church","Rev. Chris Yaw"
"0965244881","The Gifts of Being Grand: For Grandparents Everywhere (Marianne Richmond)","Marianne Richmond"
"1455549703","Why Suffering?: Finding Meaning and Comfort When Life Doesn't Make Sense","Ravi Zacharias"
"052911769X","Grace: More Than We Deserve, Greater Than We Imagine","Max Lucado"
"0986044113","Celebrate Anglicanism","Bud Davis"
"1476707375","The Family of Jesus (Life-Changing Bible Study Series)","Karen Kingsbury"
"1451477910","A Case for Character: Towards a Lutheran Virtue Ethics","Joel D. Biermann"
"0824904680","Daily Guideposts 2015: A Spirit-Lifting Devotional (Large Print Edition) (Daily Guideposts (Large Print))","Guideposts Editors"
"0385479670","Catechism of the Catholic Church","U.S. Catholic Church"
"0807086037","Thou, Dear God: Prayers That Open Hearts and Spirits","Martin Luther King Jr."
"080066311X","The Freedom of a Christian","Martin Luther"
"1589581091","Modern Polygamy and Mormon Fundamentalism: The Generations After the Manifesto","Brian C. Hales"
"083412565X","A Charitable Discourse: Talking About the Things That Divide Us","Dan Boone"
"1455527084","Pastrix: The Cranky, Beautiful Faith of a Sinner & Saint","Nadia Bolz-Weber"
"0892968877","Power over the Enemy: Breaking Free from Spiritual Strongholds","John Osteen"
"145551733X","The Power of Being Thankful: 365 Devotions for Discovering the Strength of Gratitude","Joyce Meyer"
"0819223093","Episcopal Questions, Episcopal Answers: Exploring Christian Faith","Ian S. Markham"
"0664230997","Feasting on the Word: Year B, Vol. 4: Season after Pentecost 2 (Propers 17-Reign of Christ)","David L. Bartlett"
"0199608679","The Oxford Handbook of Quaker Studies (Oxford Handbooks)","Stephen W. Angell"
"1414320604","Night Light: A Devotional for Couples","James C. Dobson"
"0758631014","Broken: 7 ''Christian'' Rules That Every Christian Ought to Break as Often as Possible","Jonathan M. Fisk"
"1250010659","The Christmas Light","Donna VanLiere"
"0061370460","Altar in the World, An: A Geography of Faith","Barbara Brown Taylor"
"1453716866","The Book of Common Prayer","The Episcopal Church"
"0996049908","The Anglican Way: A Guidebook","Thomas McKenzie"
"1617200050","Hinds Feet On High Places","Hannah Hurnard"
"1601420811","The Disappearance of God: Dangerous Beliefs in the New Spiritual Openness","R. Albert Mohler Jr."
"1433541386","New Morning Mercies: A Daily Gospel Devotional","Paul David Tripp"
"0828027064","Breathe (Women's Devotional)","Ardis Dick Stenbakken"
"1455517445","Power Thoughts Devotional: 365 Daily Inspirations for Winning the Battle of the Mind","Joyce Meyer"
"019937385X","Testimonies for the Church (Volume 5)","Ellen G. White"
"052595435X","Encounters with Jesus: Unexpected Answers to Life's Biggest Questions","Timothy Keller"
"1426742312","The Sermons of John Wesley: A Collection for the Christian Journey","Kenneth J. Collins"
"0061582603","God's Battalions: The Case for the Crusades","Rodney Stark"
